bash-4.4# time kafka-producer-perf-test.sh --topic testes-de-performance --num-records 10000000 --throughput -1 --record-size 1000 --producer.config opt/kafka/config/producer.prope
rties
70401 records sent, 13844.8 records/sec (13.20 MB/sec), 1226.0 ms avg latency, 2978.0 ms max latency.
[2022-02-12 20:10:12,252] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1611 on topic-partition testes-de-performance-48, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,259] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-48 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,260] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1611 on topic-partition testes-de-performance-45, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,261] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-45 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,339] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-24, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,350] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-24 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,357] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-51, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,359] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-51 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,366] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-84, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,370] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-84 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,372] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-54, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,373] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-54 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,383] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-96, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,386] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-96 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,390] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-33, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,391] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-33 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,392] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-66, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,393] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-66 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,396] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-60, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,398] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-60 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,399] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-105, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,400] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-105 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,401] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-99, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,402] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-99 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,404] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-102, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,405] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-102 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,406] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-15, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,408] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-15 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,411] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-48, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,412] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-48 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,414] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1614 on topic-partition testes-de-performance-81, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,414] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-81 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,598] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-87, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,599] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-87 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,602] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-90, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,603] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-90 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,604] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-51, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,605] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-51 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,607] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-21, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,608] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-21 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,609] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-54, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,610] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-54 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,611] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-63, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,612] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-63 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,612] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-0, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,613] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-0 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,615] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-96, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,616] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-96 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,617] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-66, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,618] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-66 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,618] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-60, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,620] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-60 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,620] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-93, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,621] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-93 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,622] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-72, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,623] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-72 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,624] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-9, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,633] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-9 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,634] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-105, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,634] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-105 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,635] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-42, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,636] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-42 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,637] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-3, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,644] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-3 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,644] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-99, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,644] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-99 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,644] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-6, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,644] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-6 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,644] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-15, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,644] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-15 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,644] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-48, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,647] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-48 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,647] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-81, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,647] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-81 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,647] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-18, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,647] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-18 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,647] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1615 on topic-partition testes-de-performance-12, retrying (2147483646 attempts left). Error: NOT_LEADER_OR_FOLLOWER (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,647] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-12 due to org.apache.kafka.common.errors.NotLeaderOrFollowerException: For requests intended only for the leader, this error indicates that the broker is not the current leader. For requests intended for any replica, this error indicates that the broker is not a replica of the topic partition.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,670] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1619 on topic-partition testes-de-performance-87, retrying (2147483645 attempts left). Error: NETWORK_EXCEPTION (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,672] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-87 due to org.apache.kafka.common.errors.NetworkException: The server disconnected before a response was received.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,673] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1619 on topic-partition testes-de-performance-90, retrying (2147483645 attempts left). Error: NETWORK_EXCEPTION (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,674] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-90 due to org.apache.kafka.common.errors.NetworkException: The server disconnected before a response was received.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,675] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1619 on topic-partition testes-de-performance-21, retrying (2147483646 attempts left). Error: NETWORK_EXCEPTION (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,675] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-21 due to org.apache.kafka.common.errors.NetworkException: The server disconnected before a response was received.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,677] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1619 on topic-partition testes-de-performance-63, retrying (2147483645 attempts left). Error: NETWORK_EXCEPTION (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,677] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-63 due to org.apache.kafka.common.errors.NetworkException: The server disconnected before a response was received.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,679] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1619 on topic-partition testes-de-performance-0, retrying (2147483646 attempts left). Error: NETWORK_EXCEPTION (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,687] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-0 due to org.apache.kafka.common.errors.NetworkException: The server disconnected before a response was received.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,689] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1619 on topic-partition testes-de-performance-27, retrying (2147483645 attempts left). Error: NETWORK_EXCEPTION (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,690] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-27 due to org.apache.kafka.common.errors.NetworkException: The server disconnected before a response was received.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,691] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1619 on topic-partition testes-de-performance-93, retrying (2147483645 attempts left). Error: NETWORK_EXCEPTION (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,692] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-93 due to org.apache.kafka.common.errors.NetworkException: The server disconnected before a response was received.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,692] WARN [Producer clientId=producer-1] Got error produce response with correlation id 1619 on topic-partition testes-de-performance-30, retrying (2147483645 attempts left). Error: NETWORK_EXCEPTION (org.apache.kafka.clients.producer.internals.Sender)
[2022-02-12 20:10:12,693] WARN [Producer clientId=producer-1] Received invalid metadata error in produce request on partition testes-de-performance-30 due to org.apache.kafka.common.errors.NetworkException: The server disconnected before a response was received.. Going to request metadata update now (org.apache.kafka.clients.producer.internals.Sender)
